GAME_ID,POSSESSION_ID,PERIOD,START_CLOCK,END_CLOCK,EVENTS,ACTION_TYPES,EVENT_LIST,TEAM,team,TEAM_ID,PLAYER_ID,PLAYER_NAME,HOME_SCORE,AWAY_SCORE,FIRST_SHOT_RESULT,FIRST_SHOT_VALUE,FIRST_SHOT_SUBTYPE,FIRST_SHOT_PLAYER,FIRST_SHOT_X_LEGACY,FIRST_SHOT_Y_LEGACY,FIRST_SHOT_DISTANCE,FIRST_SHOT_SECONDS,POSS_LENGTH,TIME_UNTIL_FIRST_SHOT,SHOT_TIME_FOR_ANALYSIS,TWO_FOR_ONE_ATTEMPT,NO_TWO_FOR_ONE_ATTEMPT,POSS_PTS,FREE_THROW_PTS,TWO_FOR_ONE_SECOND_POSSESSION?,NON_TWO_FOR_ONE_SECOND_POSSESSION?,SECOND_POSSESSION_PTS,SECOND_POSSESSION_SHOT_RESULT,SECOND_POSSESSION_SHOT_SECONDS,TWO_FOR_ONE_SECOND_POSSESSION_PTS,TOTAL_PTS_ON_ALL_2FOR1_POSS,TEAM_ABBREV,logo,Player,Images
0022500674,218,4,PT00M36.80S,PT00M13.40S,2,"Rebound, Made Shot",Powell REBOUND (Off:0 Def:2) | Powell 2' Driving Finger Roll Layup (22 PTS) (Wiggins 3 AST),MIA,Miami Heat,1610612748,1626181,N. Powell,124,131,Made,2.0,Driving Finger Roll Layup Shot,N. Powell,-1.0,20.0,2.0,13.0,24.0,24.0,24.0,0,1,2.0,0,,1.0,0.0,Missed,3.0,0.0,2.0,MIA,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg,Norman Powell,https://cdn.nba.com/headshots/nba/latest/1040x760/1626181.png
0022500677,114,2,PT00M39.40S,PT00M36.80S,2,"Steal, Made Shot",Edwards STEAL (2 STL) | DiVincenzo 2' Running Layup (2 PTS) (Edwards 3 AST),MIN,Minnesota Timberwolves,1610612750,1628978,D. DiVincenzo,48,56,Made,2.0,Running Layup Shot,D. DiVincenzo,9.0,12.0,2.0,37.0,2.0,2.0,2.0,1,0,2.0,0,1.0,,2.0,,,2.0,4.0,MIN,https://cdn.nba.com/logos/nba/1610612750/primary/L/logo.svg,Donte DiVincenzo,https://cdn.nba.com/headshots/nba/latest/1040x760/1628978.png
0022500679,100,2,PT00M33.50S,PT00M27.60S,2,"Rebound, Made Shot",Harper REBOUND (Off:1 Def:1) | Fox 8' Running Pull-Up Jump Shot (8 PTS) (Harper 2 AST),SAS,San Antonio Spurs,1610612759,1628368,D. Fox,62,54,Made,2.0,Running Pull-Up Jump Shot,D. Fox,7.0,79.0,8.0,28.0,6.0,6.0,6.0,1,0,2.0,0,1.0,,0.0,,,0.0,2.0,SAS,https://cdn.nba.com/logos/nba/1610612759/primary/L/logo.svg,De'Aaron Fox,https://cdn.nba.com/headshots/nba/latest/1040x760/1628368.png
0022500680,145,3,PT00M33.70S,PT00M30.40S,2,"Rebound, Made Shot",Clifford REBOUND (Off:2 Def:3) | LaVine 2' Running Layup (11 PTS) (Clifford 1 AST),SAC,Sacramento Kings,1610612758,203897,Z. LaVine,85,89,Made,2.0,Running Layup Shot,Z. LaVine,11.0,11.0,2.0,30.0,4.0,4.0,4.0,1,0,2.0,0,1.0,,3.0,Made,0.0,3.0,5.0,SAC,https://cdn.nba.com/logos/nba/1610612758/primary/L/logo.svg,Zach LaVine,https://cdn.nba.com/headshots/nba/latest/1040x760/203897.png
0022500683,48,1,PT00M35.70S,PT00M14.20S,2,"Rebound, Made Shot",James REBOUND (Off:0 Def:3) | Miller 16' Pullup Jump Shot (9 PTS),CHA,Charlotte Hornets,1610612766,1641706,B. Miller,18,32,Made,2.0,Pullup Jump shot,B. Miller,-29.0,161.0,16.0,14.0,22.0,22.0,22.0,0,1,2.0,0,,1.0,1.0,,,1.0,3.0,CHA,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg,Brandon Miller,https://cdn.nba.com/headshots/nba/latest/1040x760/1641706.png
0022500683,162,3,PT00M38.90S,PT00M21.00S,4,"Rebound, Missed Shot, Rebound, Made Shot",Martin REBOUND (Off:1 Def:7) | MISS Thompson 28' 3PT Running Jump Shot | Martin REBOUND (Off:2 Def:7) | Martin 3PT Jump Shot (6 PTS) (Williams 6 AST),DAL,Dallas Mavericks,1610612742,1628997,C. Martin,93,93,Missed,3.0,Running Jump Shot,K. Thompson,-136.0,246.0,28.0,34.0,18.0,5.0,5.0,1,0,3.0,0,0.0,,,,,0.0,3.0,DAL,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg,Klay Thompson,https://cdn.nba.com/headshots/nba/latest/1040x760/202691.png
0022500683,209,4,PT00M38.50S,PT00M33.50S,2,"Timeout, Made Shot",MAVERICKS Timeout: Regular (Full 5 Short 0) | Flagg 26' 3PT Pullup Jump Shot (49 PTS),DAL,Dallas Mavericks,1610612742,1642843,C. Flagg,121,121,Made,3.0,Pullup Jump shot,C. Flagg,126.0,226.0,26.0,34.0,4.0,4.0,4.0,1,0,3.0,0,1.0,,0.0,,,0.0,3.0,DAL,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg,Cooper Flagg,https://cdn.nba.com/headshots/nba/latest/1040x760/1642843.png
0022500685,146,3,PT00M34.20S,PT00M16.80S,2,"Rebound, Made Shot",Harris REBOUND (Off:0 Def:4) | Harris 3PT Jump Shot (13 PTS) (Holland II 1 AST),DET,Detroit Pistons,1610612765,202699,T. Harris,93,81,Made,3.0,Jump Shot,T. Harris,233.0,10.0,0.0,17.0,17.0,17.0,17.0,0,1,3.0,0,,0.0,,,,0.0,3.0,DET,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg,Tobias Harris,https://cdn.nba.com/headshots/nba/latest/1040x760/202699.png
0022500687,48,1,PT00M39.00S,PT00M37.30S,2,"Rebound, Made Shot",Raptors Rebound | Barnes 3' Turnaround Jump Shot (6 PTS) (Shead 3 AST),TOR,Toronto Raptors,1610612761,1630567,S. Barnes,27,28,Made,2.0,Turnaround Jump Shot,S. Barnes,-23.0,14.0,3.0,37.0,2.0,2.0,2.0,1,0,2.0,0,1.0,,0.0,Missed,2.0,0.0,2.0,TOR,https://cdn.nba.com/logos/nba/1610612761/primary/L/logo.svg,Scottie Barnes,https://cdn.nba.com/headshots/nba/latest/1040x760/1630567.png
0022500687,166,3,PT00M36.00S,PT00M24.30S,2,"Rebound, Made Shot",Murray-Boyles REBOUND (Off:2 Def:4) | Shead 10' Driving Floating Jump Shot (4 PTS),TOR,Toronto Raptors,1610612761,1642347,J. Shead,83,97,Made,2.0,Driving Floating Jump Shot,J. Shead,7.0,97.0,10.0,24.0,12.0,12.0,12.0,0,1,2.0,0,,1.0,2.0,Made,0.0,2.0,4.0,TOR,https://cdn.nba.com/logos/nba/1610612761/primary/L/logo.svg,Jamal Shead,https://cdn.nba.com/headshots/nba/latest/1040x760/1642347.png
0022500688,167,3,PT00M36.60S,PT00M32.80S,2,"Rebound, Made Shot",Watkins REBOUND (Off:2 Def:2) | George 26' 3PT Running Pull-Up Jump Shot (15 PTS),WAS,Washington Wizards,1610612764,1642273,K. George,82,108,Made,3.0,Running Pull-Up Jump Shot,K. George,-228.0,134.0,26.0,33.0,4.0,4.0,4.0,1,0,3.0,0,1.0,,2.0,Made,13.0,2.0,5.0,WAS,https://cdn.nba.com/logos/nba/1610612764/primary/L/logo.svg,Kyshawn George,https://cdn.nba.com/headshots/nba/latest/1040x760/1642273.png
0022500689,47,1,PT00M35.10S,PT00M28.90S,7,"Rebound, Foul, Missed Shot, Rebound, Foul, Free Throw, Free Throw",CELTICS Rebound | Clifford L.B.FOUL (P1.T2) (J.Goble) | MISS Gonzalez 26' 3PT Jump Shot | Walsh REBOUND (Off:1 Def:0) | Ellis S.FOUL (P1.PN) (M.Myers) | Walsh Free Throw 1 of 2 (4 PTS) | MISS Walsh Free Throw 2 of 2,BOS,Boston Celtics,1610612738,1641775,J. Walsh,38,25,Missed,3.0,Jump Shot,H. González,131.0,227.0,26.0,32.0,,3.0,3.0,1,0,1.0,1,1.0,,2.0,Made,0.0,2.0,3.0,BOS,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg,Hugo González,https://cdn.nba.com/headshots/nba/latest/1040x760/1642864.png
